,,,,,,,
243,13,16,17,1004,32.6,59.3, 
237,13,17,17,1003.9,32.5,59.3, 
237,13,17,17,1003.9,32.5,59.3, 
237,14,18,18,1004,32.6,59.3, 
237,14,18,19,1004,32.6,59.2, 
237,13,18,19,1003.9,32.5,59.2, 
237,14,19,21,1003.9,32.5,59.1, 
238,12,16,17,1003.8,32.5,59.1, 
238,13,16,17,1003.8,32.4,59, 
237,11,16,16,1003.9,32.4,59.2, 
236,14,20,20,1004,32.4,59.3, 
238,17,22,22,1003.9,32.4,59.3, 
237,16,19,19,1004,32.4,59.3, 
235,14,17,17,1004,32.4,59.3, 
237,13,16,16,1003.9,32.4,59.3, 
237,13,16,16,1003.9,32.4,59.2, 
237,13,17,18,1003.9,32.5,59.1, 
237,14,18,18,1003.9,32.4,59.1, 
236,15,19,20,1003.9,32.5,59.1, 
237,13,17,18,1003.9,32.4,59.1, 
238,12,16,17,1003.8,32.4,59, 
238,12,16,17,1003.9,32.4,59.1, 
237,14,17,18,1003.9,32.4,59.1, 
237,14,17,17,1003.9,32.4,59.1, 
238,14,16,16,1003.9,32.4,59, 
238,16,19,19,1003.9,32.4,59, 
241,15,21,21,1003.9,32.4,59, 
239,13,21,21,1003.9,32.4,59, 
240,13,21,21,1003.8,32.4,59, 
241,12,19,20,1003.8,32.4,59, 
241,10,15,15,1003.9,32.5,59, 
241,12,14,14,1003.8,32.5,59, 
239,14,17,17,1003.8,32.5,59, 
244,13,16,16,1003.8,32.5,58.9, 
244,12,16,16,1003.8,32.5,58.9, 
243,12,16,16,1003.8,32.5,58.9, 
242,12,17,17,1003.9,32.5,58.9, 
243,12,17,17,1003.8,32.5,58.9, 
243,12,16,17,1003.8,32.5,58.8, 
244,13,17,17,1003.8,32.5,58.8, 
243,13,19,19,1003.9,32.5,58.9, 
243,14,18,18,1003.8,32.5,58.9, 
242,13,19,19,1003.8,32.5,58.9, 
243,12,17,18,1003.8,32.5,58.9, 
244,13,17,17,1003.8,32.5,58.8, 
244,14,19,19,1003.8,32.5,58.8, 
244,14,19,20,1003.8,32.5,58.7, 
244,13,18,20,1003.8,32.5,58.7, 
244,13,18,20,1003.8,32.5,58.7, 
244,12,17,19,1003.8,32.6,58.7, 
245,13,17,18,1003.8,32.6,58.7, 
241,14,20,21,1003.8,32.6,58.7, 
243,13,19,20,1003.8,32.6,58.6, 
247,11,17,18,1003.8,32.6,58.6, 
246,12,16,16,1003.8,32.6,58.6, 
245,14,18,18,1003.8,32.6,58.6, 
246,14,17,18,1003.8,32.6,58.6, 
246,15,17,18,1003.8,32.6,58.6, 
246,15,17,18,1003.8,32.5,58.6, 
246,15,19,19,1003.7,32.5,58.6, 
245,13,18,18,1003.7,32.5,58.6, 
245,12,17,17,1003.7,32.5,58.5, 
245,13,18,18,1003.8,32.5,58.5, 
245,11,16,17,1003.7,32.5,58.5, 
247,12,16,16,1003.7,32.5,58.6, 
247,13,18,18,1003.7,32.5,58.6, 
245,13,18,18,1003.8,32.5,58.6, 
247,13,19,19,1003.7,32.5,58.6, 
247,12,19,20,1003.8,32.5,58.7, 
247,13,20,21,1003.7,32.5,58.6, 
249,14,20,21,1003.7,32.5,58.6, 
255,14,20,22,1003.7,32.5,58.7, 
249,12,18,20,1003.7,32.5,58.7, 
251,13,18,19,1003.7,32.5,58.7, 
249,13,18,19,1003.7,32.5,58.7, 
246,14,20,22,1003.8,32.5,58.7, 
247,13,20,22,1003.7,32.5,58.7, 
248,12,18,18,1003.6,32.5,58.6, 
248,11,18,18,1003.7,32.5,58.7, 
248,13,20,20,1003.7,32.5,58.6, 
248,14,20,21,1003.7,32.5,58.6, 
248,14,17,18,1003.7,32.5,58.7, 
248,12,16,16,1003.7,32.5,58.7, 
250,12,18,19,1003.7,32.5,58.7, 
249,13,18,19,1003.6,32.5,58.7, 
250,13,18,19,1003.7,32.6,58.7, 
250,13,19,20,1003.7,32.6,58.6, 
250,13,20,20,1003.7,32.6,58.6, 
250,14,20,20,1003.7,32.6,58.5, 
251,13,19,19,1003.6,32.6,58.5, 
250,13,17,17,1003.6,32.6,58.5, 
249,11,15,15,1003.7,32.6,58.5, 
249,11,15,16,1003.6,32.6,58.5, 
249,13,17,18,1003.6,32.6,58.5, 
249,12,15,16,1003.6,32.7,58.5, 
252,10,14,14,1003.6,32.6,58.5, 
252,10,13,13,1003.6,32.6,58.5, 
252,11,14,14,1003.6,32.7,58.5, 
252,12,16,17,1003.6,32.7,58.5, 
252,11,18,18,1003.6,32.7,58.5, 
252,10,18,18,1003.6,32.7,58.6, 
253,13,17,17,1003.6,32.7,58.6, 
